Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,173.729996,174.479996,172.660004,173.220001,161.901535,3696900
2018-01-03,173.229996,173.639999,172.000000,172.490005,161.219208,3789600
2018-01-04,173.240005,174.130005,172.729996,173.699997,162.350159,2756400
2018-01-05,174.000000,175.000000,173.399994,174.050003,162.677261,3737700
2018-01-08,173.740005,174.210007,172.929993,173.929993,162.565094,2060800
2018-01-09,174.229996,174.229996,173.009995,173.539993,162.200607,2674300
2018-01-10,173.500000,174.000000,172.470001,173.509995,162.172577,2172500
2018-01-11,173.559998,174.550003,172.100006,173.389999,162.060410,3078000
2018-01-12,173.360001,173.789993,172.880005,173.570007,162.228668,2901600
2018-01-16,173.619995,174.410004,172.880005,173.679993,162.331436,3662600
2018-01-17,174.350006,175.690002,173.880005,174.979996,163.546494,4129600
2018-01-18,175.190002,175.449997,173.899994,174.570007,163.163330,2154800
2018-01-19,174.990005,176.639999,174.380005,176.119995,164.612015,3746300
2018-01-22,175.970001,176.830002,175.610001,176.210007,164.696152,3217900
2018-01-23,175.570007,177.750000,174.850006,176.809998,165.256943,3197600
2018-01-24,177.300003,177.300003,175.250000,176.119995,164.612015,2810800
2018-01-25,176.399994,176.619995,174.660004,175.660004,164.182083,2815800
2018-01-26,175.669998,178.399994,175.009995,178.360001,166.705643,3957700
2018-01-29,178.300003,178.699997,177.240005,177.770004,166.154205,6091900
2018-01-30,177.100006,177.669998,170.850006,172.479996,161.209869,9613000
2018-01-31,173.600006,174.300003,170.270004,171.139999,159.957428,7004200
2018-02-01,170.270004,173.539993,168.889999,171.899994,160.667770,4751300
2018-02-02,170.800003,172.729996,168.990005,169.380005,158.312439,4604500
2018-02-05,168.610001,169.460007,153.860001,163.850006,153.143753,7309300
2018-02-06,158.350006,166.050003,158.250000,165.179993,154.386856,7020000
2018-02-07,164.860001,168.259995,164.520004,165.710007,154.882233,4974000
2018-02-08,165.690002,165.729996,158.759995,158.970001,148.582626,5656000
2018-02-09,159.979996,161.979996,155.229996,160.800003,150.293060,7187100
2018-02-12,162.369995,165.889999,161.500000,163.899994,153.190506,5255900
2018-02-13,163.000000,163.830002,161.720001,162.399994,151.788513,5406000
2018-02-14,161.440002,162.020004,159.679993,159.990005,149.536011,5865600
2018-02-15,161.139999,161.520004,158.809998,160.779999,150.274353,5012100
2018-02-16,159.470001,159.899994,157.759995,157.789993,147.479721,7165800
2018-02-20,157.000000,159.160004,156.279999,157.160004,146.890900,5211100
2018-02-21,157.759995,161.320007,157.600006,158.639999,148.274200,7833400
2018-02-22,158.949997,161.399994,158.899994,160.660004,150.162201,4398200
2018-02-23,161.440002,163.309998,161.440002,163.059998,152.405396,4272400
2018-02-26,164.000000,164.750000,162.300003,163.580002,152.891388,4525200
2018-02-27,164.190002,164.500000,160.639999,160.660004,150.162201,4907500
2018-02-28,160.429993,161.210007,157.720001,157.740005,148.365707,6116800
2018-03-01,157.800003,160.429993,155.210007,155.699997,146.446945,5609000
2018-03-02,148.910004,150.449997,146.839996,148.270004,139.458511,11754300
2018-03-05,148.279999,151.479996,147.919998,151.029999,142.054474,6397800
2018-03-06,151.250000,151.710007,150.130005,151.199997,142.214371,5015400
2018-03-07,149.860001,152.740005,149.679993,152.380005,143.324265,4492000
2018-03-08,152.729996,154.610001,152.649994,154.440002,145.261841,4291400
2018-03-09,155.619995,157.729996,154.839996,157.240005,147.895447,5076500
2018-03-12,157.740005,159.449997,157.509995,157.740005,148.365707,4461500
2018-03-13,158.559998,159.889999,158.210007,158.220001,148.817215,4333100
2018-03-14,159.000000,159.509995,157.240005,158.240005,148.836014,3879000
2018-03-15,158.710007,162.149994,158.589996,161.610001,152.005737,5925700
2018-03-16,161.880005,163.229996,161.580002,162.360001,152.711166,14293800
2018-03-19,162.000000,162.360001,158.210007,159.009995,149.560242,4307600
2018-03-20,159.750000,160.669998,159.250000,159.380005,149.908249,3105100
2018-03-21,160.000000,160.410004,158.289993,158.660004,149.231033,3871900
2018-03-22,157.850006,159.119995,156.850006,157.039993,147.707291,3669400
2018-03-23,157.589996,157.779999,154.919998,154.979996,145.769760,3447400
2018-03-26,156.210007,158.199997,156.210007,158.009995,148.619659,3477000
2018-03-27,158.500000,159.770004,156.470001,157.479996,148.121155,3519100
2018-03-28,157.839996,159.759995,157.820007,158.410004,148.995895,3913200
2018-03-29,159.000000,159.830002,156.380005,156.380005,147.086517,5289500
2018-04-02,158.270004,160.160004,155.250000,157.720001,148.346909,6960100
2018-04-03,157.979996,160.529999,157.300003,160.399994,150.867630,4719400
2018-04-04,158.500000,162.149994,157.880005,161.729996,152.118591,4888000
2018-04-05,162.399994,164.559998,161.750000,163.949997,154.206665,4503900
2018-04-06,162.419998,163.779999,160.910004,161.250000,151.667114,4321900
2018-04-09,162.220001,163.570007,161.059998,161.229996,151.648300,3581500
2018-04-10,162.830002,163.960007,162.050003,162.770004,153.096786,3902600
2018-04-11,162.500000,164.059998,162.279999,163.339996,153.632935,2711100
2018-04-12,163.589996,165.399994,161.539993,161.619995,152.015137,5178900
2018-04-13,162.160004,163.160004,161.259995,161.729996,152.118591,2452800
2018-04-16,161.300003,162.440002,160.860001,161.630005,152.024551,3115200
2018-04-17,162.389999,163.479996,162.059998,162.550003,152.889877,2861900
2018-04-18,162.589996,163.309998,161.740005,161.809998,152.193832,2503100
2018-04-19,161.610001,162.100006,158.779999,159.529999,150.049347,3276600
2018-04-20,159.330002,160.729996,158.509995,158.770004,149.334503,3961200
2018-04-23,158.970001,159.690002,158.149994,158.990005,149.541458,3051900
2018-04-24,159.750000,159.830002,156.759995,157.320007,147.970703,2904400
2018-04-25,157.089996,157.339996,155.009995,155.940002,146.672684,3710200
2018-04-26,156.460007,159.460007,155.649994,158.899994,149.456772,3680600
2018-04-27,159.479996,159.850006,158.210007,158.300003,148.892456,4141500
2018-04-30,164.690002,167.949997,163.750000,167.440002,157.489258,12954700
2018-05-01,166.380005,166.500000,162.100006,163.440002,153.726959,6560100
2018-05-02,162.149994,163.199997,160.440002,160.679993,151.130997,4318400
2018-05-03,160.600006,160.839996,159.080002,160.080002,150.566650,3450100
2018-05-04,159.949997,165.449997,159.899994,165.029999,155.222519,4283600
2018-05-07,166.770004,167.300003,164.649994,165.000000,155.194244,3379000
2018-05-08,164.440002,165.589996,163.750000,164.770004,154.977921,2808100
2018-05-09,165.000000,165.210007,163.050003,164.240005,154.479416,2762500
2018-05-10,164.449997,165.639999,164.309998,165.070007,155.260117,1675100
2018-05-11,165.000000,165.979996,164.850006,165.389999,155.561081,2258500
2018-05-14,165.649994,165.979996,164.320007,164.720001,154.930893,2537300
2018-05-15,164.270004,164.649994,162.330002,163.059998,153.369553,3471300
2018-05-16,163.240005,163.940002,161.740005,162.869995,153.190857,2522000
2018-05-17,162.630005,163.229996,160.729996,161.309998,151.723541,2975500
2018-05-18,161.679993,162.839996,160.550003,160.979996,151.413147,2318000
2018-05-21,161.779999,161.970001,160.610001,161.479996,151.883469,2424000
2018-05-22,162.059998,162.089996,159.160004,159.449997,149.974091,3224000
2018-05-23,159.699997,161.649994,159.160004,161.619995,152.015137,3835100
2018-05-24,161.110001,162.600006,160.440002,162.389999,152.739380,3378000
2018-05-25,162.440002,163.949997,162.100006,163.210007,153.510635,2582100
2018-05-29,162.429993,162.720001,160.210007,160.619995,151.074570,3197100
2018-05-30,161.410004,162.100006,160.820007,161.820007,152.203262,2396500
2018-05-31,161.179993,161.630005,159.940002,160.009995,150.500824,4881100
2018-06-01,159.899994,160.050003,159.020004,159.160004,150.652267,3203800
2018-06-04,160.080002,160.490005,159.539993,160.220001,151.655609,3174600
2018-06-05,159.970001,160.990005,158.979996,159.479996,150.955170,2952300
2018-06-06,159.789993,162.389999,159.330002,162.380005,153.700119,3586200
2018-06-07,163.750000,170.000000,163.690002,169.479996,160.420609,8342500
2018-06-08,169.020004,171.559998,168.460007,168.910004,159.881088,5056600
2018-06-11,169.039993,169.039993,166.259995,166.490005,157.590454,3246500
2018-06-12,166.820007,167.240005,166.229996,166.729996,157.817627,2985300
2018-06-13,166.990005,167.610001,166.550003,166.580002,157.675644,3140500
2018-06-14,167.039993,167.940002,166.679993,167.050003,158.120499,2390000
2018-06-15,166.100006,166.600006,164.589996,166.460007,157.562057,7384400
2018-06-18,165.529999,166.580002,163.809998,166.279999,157.391678,4297700
2018-06-19,164.619995,165.509995,164.240005,164.970001,156.151688,3350400
2018-06-20,164.910004,165.529999,162.369995,162.559998,153.870529,3649500
2018-06-21,163.289993,163.600006,159.539993,160.529999,151.949051,4655800
2018-06-22,161.270004,165.139999,161.259995,164.550003,155.754150,8703600
2018-06-25,163.000000,163.000000,158.949997,159.809998,151.267502,6126800
2018-06-26,160.009995,161.850006,159.800003,160.910004,152.308731,3375100
2018-06-27,159.050003,160.490005,157.380005,157.419998,149.005249,4962100
2018-06-28,157.250000,157.330002,155.100006,156.320007,147.964096,4136500
2018-06-29,156.759995,157.949997,156.070007,156.690002,148.314316,4024500
2018-07-02,155.990005,156.869995,155.449997,156.869995,148.484680,3024000
2018-07-03,157.360001,157.820007,156.309998,156.479996,148.115509,1437700
2018-07-05,156.899994,157.669998,156.500000,157.320007,148.910645,2248300
2018-07-06,157.770004,160.570007,157.449997,159.419998,150.898376,3298800
2018-07-09,160.470001,160.800003,159.369995,159.940002,151.390579,2477300
2018-07-10,159.830002,160.979996,159.460007,160.619995,152.034225,2187500
2018-07-11,158.889999,159.710007,157.699997,158.619995,150.141129,3203800
2018-07-12,159.149994,159.779999,158.820007,159.119995,150.614410,2360800
2018-07-13,157.399994,158.759995,155.279999,158.509995,150.037018,5186500
2018-07-16,158.619995,159.279999,157.960007,158.779999,150.292587,2818200
2018-07-17,158.559998,160.000000,158.559998,159.750000,151.210724,1877500
2018-07-18,159.850006,159.869995,157.809998,157.929993,149.488022,3824000
2018-07-19,157.589996,158.639999,157.110001,157.410004,148.995819,4869700
2018-07-20,157.199997,158.350006,156.279999,157.970001,149.525864,2695500
2018-07-23,157.800003,158.830002,157.039993,158.750000,150.264175,2754300
2018-07-24,159.240005,159.580002,157.520004,157.940002,149.497467,3388400
2018-07-25,157.690002,158.990005,157.410004,158.889999,150.396713,4193400
2018-07-26,158.229996,158.889999,154.710007,156.139999,147.793701,7409800
2018-07-27,156.580002,158.009995,156.399994,157.479996,149.062057,4234100
2018-07-30,157.389999,160.020004,157.089996,158.639999,150.160049,3274800
2018-07-31,158.699997,159.000000,157.229996,157.539993,149.118835,3530000
2018-08-01,156.570007,157.220001,155.660004,156.919998,148.531998,4252800
2018-08-02,156.649994,156.929993,153.130005,155.410004,147.102722,6245900
